firstname;lastname;gender;height;date_of_birth;country
Gino;Thurborn;male;206;1988-01-24;246
Kelsy;Merrifield;female;184;1988-03-03;128
Gabie;Berzen;female;186;1969-01-26;170
Bartholomeus;Corkhill;male;200;2000-04-19;229
Osbourne;Rumke;male;177;1971-08-27;74
Adelaida;Huccaby;female;172;1981-08-19;172
Peder;Tosdevin;male;205;1994-09-15;73
Mabel;Walburn;female;185;2000-12-24;215
Jedd;Barwack;male;188;1983-04-28;122
Maggie;Casson;female;209;1977-11-30;196
Cecilia;Soppeth;female;210;1964-10-20;214
Chadd;Lowerson;male;161;1979-08-27;180
Toby;Willmett;female;199;2003-07-13;67
Gweneth;Vispo;female;183;1989-07-18;224
Andrus;Cowup;male;192;2001-07-12;226
Herb;Westall;male;209;2001-12-19;139
Claudine;Hatter;female;177;1983-09-16;115
Dorey;Gissop;male;186;1968-06-02;6
Camella;Hay;female;187;1988-02-07;183
Scarlett;Paintain;female;180;1977-11-22;78
Ludovika;Rockall;female;191;1976-12-10;60
Jackson;Littleover;male;172;1982-08-10;25
Loydie;Olyet;male;162;2000-01-13;68
Casey;Woollin;male;161;1992-01-25;116
Willy;Sykora;female;182;1989-09-11;86
Jesselyn;Clace;female;192;1961-09-24;222
Sax;Habin;male;205;1992-12-05;61
Ed;O' Scallan;male;161;1963-04-12;235
Morey;Braund;male;189;1987-11-24;29
Geri;Tancock;male;204;1978-06-27;226
